qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,gleinig,topdown,dcsp,bdsp,merge,cvoqram,pivot,isometry,ucg
120,755,58,24,37,739,740,760,84,46,24,224,273,237,24,137,121,120,120
120,747,43,39,37,746,742,748,61,41,22,240,294,315,22,93,86,120,120
120,757,52,41,47,746,742,762,48,45,28,240,280,273,28,145,120,120,120
120,739,41,29,36,733,732,745,59,32,23,224,280,208,23,137,117,120,120
120,758,62,41,61,750,744,768,58,66,32,215,301,246,32,140,99,120,120
120,754,49,45,36,743,739,758,78,54,31,232,343,283,31,146,118,120,120
120,750,54,39,45,745,738,759,56,43,24,240,329,259,24,129,109,120,120
120,759,68,38,39,744,744,752,73,52,28,222,273,225,28,146,101,120,120
120,759,105,42,54,740,740,762,82,56,27,236,252,212,27,137,87,120,120
120,756,58,42,39,748,746,754,66,58,35,228,308,259,35,126,100,120,120
120,746,44,37,43,743,738,753,78,49,23,222,336,260,23,145,112,120,120
120,740,22,47,40,746,741,748,75,49,23,240,252,228,23,89,109,120,120
120,758,60,40,57,747,745,756,69,54,20,240,245,219,20,113,109,120,120
120,758,62,39,48,748,744,758,72,60,23,240,350,355,23,130,118,120,120
120,750,45,28,42,746,743,750,70,30,34,232,364,287,34,142,125,120,120
120,753,52,38,37,745,737,748,64,68,25,240,238,260,25,128,119,120,120
120,764,68,30,34,745,745,759,53,36,28,232,364,288,28,156,118,120,120
120,750,88,39,41,742,742,762,69,52,21,224,315,311,21,125,116,120,120
120,747,62,33,40,738,737,748,71,61,18,224,294,256,18,122,84,120,120
120,748,39,43,51,742,738,746,49,77,26,240,273,242,26,115,113,120,120
120,750,44,35,32,741,736,752,74,91,27,232,252,264,27,99,101,120,120
120,749,54,36,46,742,742,755,59,45,28,224,266,223,28,96,96,120,120
120,753,68,48,32,742,742,757,74,43,19,238,294,243,19,119,114,120,120
120,753,45,49,36,748,748,758,71,36,24,240,364,322,24,125,116,120,120
120,754,57,45,47,745,742,752,45,37,34,240,301,283,34,140,123,120,120
120,755,68,37,53,741,736,744,82,37,27,234,280,227,27,165,117,120,120
118,754,47,22,33,736,736,754,46,50,22,234,343,294,22,153,118,118,118
120,749,54,52,49,747,744,760,45,41,25,236,336,291,25,136,101,120,120
120,757,60,28,34,742,741,756,63,47,29,234,315,285,29,154,121,120,120
120,748,43,33,41,738,736,748,77,62,22,240,329,240,22,158,118,120,120
