qiskit,shp_reduced,gleinig,topdown,dcsp,bdsp,merge,cvoqram,pivot,isometry
1013,4271,1962,2026,3647,2645,1962,2689,20083,1013
1013,4007,2062,2026,3906,2776,2062,2797,18924,1013
1013,4183,2124,2026,3794,2804,2124,2732,19141,1013
1013,4093,2042,2026,3570,2480,2042,2601,19145,1013
1013,4070,2201,2026,3759,2751,2201,2647,20479,1013
1013,4123,2039,2026,3871,2820,2039,2775,20736,1013
1013,4259,1999,2026,3591,2727,1999,2726,20502,1013
1013,3874,1953,2026,3577,2694,1953,2696,18693,1013
1013,4174,2193,2026,3892,2755,2193,2675,20042,1013
1013,4069,2059,2026,3640,2726,2059,2647,20270,1013
1013,3983,2044,2026,3654,2678,2044,2578,19805,1013
1013,3812,1937,2026,3528,2628,1937,2597,18274,1013
1013,4260,2071,2026,3717,2724,2071,2634,18494,1013
1013,4240,1970,2026,3738,2655,1970,2717,20048,1013
1013,3910,2069,2026,3584,2681,2069,2757,20500,1013
1013,4144,1903,2026,3703,2641,1903,2541,19179,1013
1013,4039,2105,2026,3612,2664,2105,2632,18695,1013
1013,4249,2017,2026,3668,2752,2017,2677,19598,1013
1013,4071,2072,2026,3682,2778,2072,2659,18714,1013
1013,4405,2136,2026,3640,2641,2136,2602,18483,1013
1013,4084,2005,2026,3563,2606,2005,2598,19803,1013
1013,4025,2077,2026,3675,2699,2077,2630,18723,1013
1013,3943,1946,2026,3367,2507,1946,2706,20503,1013
1013,4232,2134,2026,3801,2800,2134,2705,20056,1013
1013,3821,2155,2026,3717,2612,2155,2700,20950,1013
1013,4056,1942,2026,3675,2669,1942,2616,19585,1013
1013,4224,2009,2026,3563,2664,2009,2593,20055,1013
1013,4065,2051,2026,3577,2626,2051,2507,18712,1013
1013,4015,1982,2026,3668,2690,1982,2752,19376,1013
1013,3840,2001,2026,3584,2650,2001,2699,20246,1013
1013,3987,1983,2026,3794,2686,1983,2795,19406,1013
1013,4455,1933,2026,3647,2598,1933,2706,20292,1013
1013,4423,2164,2026,3724,2726,2164,2683,20500,1013
1013,4147,1972,2026,3598,2624,1972,2575,18241,1013
1013,4462,2025,2026,4053,2706,2025,2794,20514,1013
1013,3986,2004,2026,3738,2754,2004,2741,20029,1013
1013,4055,1972,2026,3836,2771,1972,2601,19133,1013
1013,4159,1919,2026,3745,2677,1919,2643,18025,1013
1013,4138,2117,2026,3675,2718,2117,2623,20068,1013
1013,3825,2024,2026,3794,2724,2024,2640,20267,1013
1013,4149,2049,2026,3969,2766,2049,2755,20047,1013
1013,4083,2069,2026,3465,2593,2069,2696,20045,1013
1013,4268,2029,2026,3773,2675,2029,2730,18945,1013
1013,3998,2024,2026,3584,2575,2024,2576,19363,1013
1013,3792,2083,2026,3871,2679,2083,2824,20082,1013
1013,3517,2057,2026,3220,2783,2057,2820,20262,1013
1013,4034,2062,2026,3836,2674,2062,2726,20485,1013
1013,3813,1936,2026,3619,2701,1936,2686,18043,1013
1013,3918,2049,2026,3661,2615,2049,2566,18920,1013
1013,3930,2044,2026,3710,2739,2044,2855,19587,1013
1013,4016,2022,2026,3563,2720,2022,2461,18486,1013
1013,4253,2069,2026,3640,2753,2069,2634,20042,1013
1013,3982,2103,2026,3745,2696,2103,2738,19854,1013
1013,4127,2016,2026,3437,2608,2016,2568,20278,1013
1013,4134,2133,2026,3724,2626,2133,2660,18705,1013
1013,3974,1894,2026,3255,2654,1894,2485,20304,1013
1013,4018,2011,2026,3661,2710,2011,2697,20043,1013
1013,3980,1957,2026,3794,2708,1957,2722,20279,1013
1013,3814,2046,2026,3703,2743,2046,2609,18498,1013
1013,4079,1991,2026,3598,2718,1991,2593,19843,1013
1013,4060,2012,2026,3766,2689,2012,2563,19380,1013
1013,4446,2183,2026,3724,2676,2183,2672,20048,1013
1013,4044,2056,2026,3570,2688,2056,2661,20289,1013
1013,4072,1898,2026,3528,2567,1898,2702,20491,1013
1013,3904,2075,2026,3822,2726,2075,2652,19826,1013
1013,3891,2027,2026,3689,2715,2027,2668,19603,1013
1013,4097,2058,2026,3640,2623,2058,2835,20937,1013
1013,4224,2081,2026,3556,2718,2081,2608,20258,1013
1013,3887,2000,2026,3731,2625,2000,2679,20510,1013
1013,3877,2137,2026,3535,2619,2137,2638,18911,1013
1013,4120,1904,2026,3451,2566,1904,2617,19813,1013
1013,4072,2065,2026,3752,2722,2065,2751,19815,1013
1013,3819,1876,2026,3752,2694,1876,2597,18022,1013
1013,3925,1982,2026,3584,2692,1982,2680,19156,1013
1013,4053,2031,2026,3731,2728,2031,2702,18043,1013
1013,4404,2087,2026,3794,2751,2087,2727,19849,1013
1013,3950,2014,2026,3710,2728,2014,2633,19610,1013
1013,4179,2025,2026,3388,2548,2025,2482,19846,1013
1013,4067,2044,2026,3668,2736,2044,2658,19832,1013
1013,3837,2023,2026,3619,2656,2023,2679,20261,1013
1013,4036,2108,2026,3416,2677,2108,2514,18695,1013
1013,3890,1926,2026,3486,2653,1926,2516,20288,1013
1013,4018,1978,2026,3549,2791,1978,2639,20503,1013
1013,3969,1879,2026,3549,2684,1879,2659,20298,1013
1013,3964,2147,2026,3717,2652,2147,2668,19844,1013
1013,4244,2085,2026,3808,2771,2085,2729,18917,1013
1013,3789,2088,2026,3605,2570,2088,2715,20945,1013
1013,3900,1986,2026,3661,2702,1986,2663,18709,1013
1013,3951,2088,2026,3703,2703,2088,2672,20727,1013
1013,4041,2155,2026,3598,2678,2155,2687,20280,1013
1013,4050,2013,2026,3759,2748,2013,2685,19855,1013
1013,4044,2105,2026,3696,2651,2105,2588,20508,1013
1013,3979,1860,2026,4011,2700,1860,2803,18937,1013
1013,3984,1938,2026,3570,2507,1938,2702,20729,1013
1013,4136,2149,2026,3654,2639,2149,2661,19625,1013
1013,3884,1995,2026,3710,2712,1995,2646,19370,1013
1013,4222,1950,2026,3766,2659,1950,2621,19833,1013
1013,3997,2092,2026,3556,2684,2092,2578,20261,1013
1013,4340,1960,2026,3703,2706,1960,2509,19835,1013
1013,4267,1985,2026,3731,2745,1985,2705,18942,1013
1013,4003,2068,2026,3458,2588,2068,2443,19355,1013
1013,3968,2111,2026,3577,2745,2111,2676,19607,1013
1013,3914,1965,2026,3654,2753,1965,2667,20275,1013
1013,4289,2029,2026,3745,2672,2029,2549,20065,1013
1013,3951,2011,2026,3654,2724,2011,2701,19631,1013
1013,3911,1894,2026,3493,2690,1894,2628,19843,1013
1013,4496,2059,2026,3801,2731,2059,2695,19609,1013
1013,3977,2040,2026,3577,2582,2040,2559,20475,1013
1013,3971,1992,2026,3836,2720,1992,2742,18712,1013
1013,3980,2041,2026,3570,2678,2041,2561,19830,1013
1013,3958,2041,2026,3577,2679,2041,2596,18459,1013
1013,4057,1982,2026,3843,2734,1982,2626,20035,1013
